latitude,longitude,data,precipitacao_total_mm,temperatura_media_C,temperatura_max_C,temperatura_min_C,pressao_Pa,vento_u_10m,vento_v_10m
-34.0,-58.0,2025-06-16,0.95176697,10.111501,14.816559,7.1617737,100874.6,-0.8292198,-4.4891486
-34.0,-57.75,2025-06-16,0.5431175,9.877777,14.597809,6.8141174,100502.52,-0.7643598,-4.5223107
-34.0,-57.5,2025-06-16,0.6599426,9.571136,14.484528,6.3609924,100326.52,-0.66385525,-4.4055305
-34.0,-57.25,2025-06-16,0.5545616,9.390472,14.423981,6.1178284,100239.56,-0.5981814,-4.4188766
-34.0,-57.0,2025-06-16,0.5569458,9.138438,14.369293,5.738922,100184.15,-0.54296494,-4.283297
-34.0,-56.75,2025-06-16,0.6380081,9.036876,14.310699,5.5592346,100308.23,-0.45495224,-4.207451
-34.0,-56.5,2025-06-16,1.5854836,8.911794,14.324371,5.3053284,100426.15,-0.3593305,-4.0496955
-34.0,-56.25,2025-06-16,2.1624565,8.744069,14.252106,5.0065002,100471.73,-0.34968695,-3.885877
-34.0,-56.0,2025-06-16,1.6407967,8.666026,14.259918,4.7643127,100497.52,-0.31465277,-3.8526738
-34.0,-55.75,2025-06-16,0.9069443,8.4358015,14.187653,4.3678284,100177.19,-0.39652124,-3.8831508
-34.0,-55.5,2025-06-16,0.54597855,8.104259,14.041168,3.8580627,99691.65,-0.46390405,-3.7729213
-34.0,-55.25,2025-06-16,0.22697449,7.9004006,14.113434,3.408844,99714.56,-0.2483279,-3.3893764
-34.0,-55.0,2025-06-16,0.015258789,7.5625916,13.980621,2.8600159,99698.19,0.011844635,-2.874443
-34.0,-54.75,2025-06-16,0.002861023,7.532725,14.195953,2.643219,100247.65,0.14201228,-2.5412724
-34.0,-54.5,2025-06-16,0.0,7.6505637,14.371246,2.9068909,100629.98,0.1345253,-2.5554326
-34.0,-54.25,2025-06-16,0.0,7.854421,14.629547,3.0799866,101016.94,0.15303929,-2.659111
-34.0,-54.0,2025-06-16,0.0,8.010915,14.676422,3.0812073,101170.06,0.2611122,-2.6847866
-34.0,-53.75,2025-06-16,0.0,9.002452,14.6979065,4.842926,101569.31,0.37618384,-2.9768193
-34.0,-53.5,2025-06-16,0.0,11.594818,14.254059,8.889313,101795.48,0.75887424,-3.9605026
